
Created CAN interfafce connector

Connected to InfluxDB

Exiting
         6998656 function calls (6985722 primitive calls) in 42.873 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1813    0.029    0.000    0.180    0.000 models.py:534(prepare_auth)
     3173    0.029    0.000    0.038    0.000 utils.py:64(_decode_field)
        1    0.029    0.029    0.055    0.055 dbc.py:132(tokenize)
     3624    0.029    0.000    0.141    0.000 cookiejar.py:1587(make_cookies)
    12691    0.029    0.000    0.044    0.000 _internal_utils.py:14(to_native_string)
     1813    0.028    0.000   40.318    0.022 client.py:637(_write_points)
     1813    0.028    0.000    0.041    0.000 models.py:226(__init__)
    29257    0.027    0.000    0.027    0.000 {method 'items' of 'dict' objects}
    17464    0.027    0.000    0.027    0.000 sre_parse.py:233(__next)
     3624    0.027    0.000    0.562    0.000 models.py:815(content)
     1813    0.027    0.000    0.027    0.000 socket.py:563(__init__)
     1812    0.027    0.000    0.076    0.000 wait.py:87(poll_wait_for_socket)
     9065    0.027    0.000    0.114    0.000 cookiejar.py:1214(deepvalues)
     1836    0.026    0.000    0.559    0.000 main.py:59(get_data)
     3626    0.026    0.000    0.098    0.000 cookies.py:529(merge_cookies)
     3626    0.026    0.000    0.137    0.000 parse.py:469(urlunparse)
    24941    0.026    0.000    0.026    0.000 {method 'rstrip' of 'str' objects}
     3626    0.026    0.000    0.536    0.000 client.py:958(send)
    10878    0.026    0.000    0.035    0.000 message.py:479(set_raw)
     1812    0.026    0.000    0.105    0.000 response.py:38(assert_header_parsing)
    10873    0.025    0.000    0.025    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
 1215/154    0.025    0.000    0.072    0.000 sre_compile.py:71(_compile)
     1236    0.025    0.000    0.060    0.000 version.py:198(__init__)
    15601    0.025    0.000    0.048    0.000 sre_parse.py:254(get)
     1813    0.024    0.000    0.024    0.000 {method 'poll' of 'select.poll' objects}
     9067    0.024    0.000    0.024    0.000 {method 'rstrip' of 'bytes' objects}
     3626    0.024    0.000    0.024    0.000 message.py:120(__init__)
     1813    0.024    0.000    0.210    0.000 poolmanager.py:230(connection_from_context)
     5437    0.023    0.000    0.218    0.000 message.py:588(get_content_maintype)
    12684    0.023    0.000    0.026    0.000 _collections.py:181(__iter__)
     1812    0.023    0.000    0.119    0.000 message.py:459(<listcomp>)
     5439    0.022    0.000    0.106    0.000 sessions.py:73(<listcomp>)
     3626    0.022    0.000    0.078    0.000 models.py:521(prepare_content_length)
     1813    0.022    0.000    0.039    0.000 sessions.py:719(get_adapter)
     3625    0.022    0.000    0.924    0.000 feedparser.py:178(_call_parse)
     1814    0.022    0.000    0.050    0.000 {method 'close' of '_io.BufferedReader' objects}
     1813    0.022    0.000    0.062    0.000 poolmanager.py:243(connection_from_pool_key)
      421    0.021    0.000    0.021    0.000 {method 'read' of '_io.FileIO' objects}
     1812    0.021    0.000    0.063    0.000 message.py:213(get_payload)
     7294    0.021    0.000    0.021    0.000 {method 'acquire' of '_thread.RLock' objects}
    18789    0.021    0.000    0.021    0.000 {method 'rpartition' of 'str' objects}
     3626    0.021    0.000    0.169    0.000 contextlib.py:116(__exit__)
     7460    0.021    0.000    0.232    0.000 {built-in method builtins.next}
     1836    0.020    0.000    0.036    0.000 main.py:56(all_equal)
     1813    0.020    0.000    0.296    0.000 adapters.py:329(request_url)
    14504    0.020    0.000    0.020    0.000 _collections_abc.py:698(__init__)
     3626    0.019    0.000    0.062    0.000 cookies.py:348(update)
    12703    0.019    0.000    0.019    0.000 {method 'lstrip' of 'str' objects}
     1813    0.019    0.000    0.050    0.000 models.py:61(path_url)
     1813    0.019    0.000    0.222    0.000 connectionpool.py:212(_get_conn)
     1813    0.019    0.000    0.237    0.000 cookies.py:135(get_cookie_header)
     1813    0.019    0.000    0.375    0.000 poolmanager.py:267(connection_from_url)
     3626    0.019    0.000    0.052    0.000 timeout.py:156(clone)
    16320    0.018    0.000    0.018    0.000 timeout.py:103(_validate_timeout)
     1813    0.018    0.000    0.025    0.000 utils.py:565(unquote_unreserved)
      421    0.018    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    14129    0.018    0.000    0.018    0.000 {method 'strip' of 'str' objects}
     1812    0.018    0.000    0.039    0.000 feedparser.py:70(close)
     1812    0.018    0.000    0.488    0.000 response.py:473(stream)
     5486    0.018    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     1813    0.017    0.000    0.049    0.000 cookiejar.py:1723(clear_expired_cookies)
      291    0.017    0.000    0.017    0.000 {built-in method posix.listdir}
     1813    0.017    0.000    0.028    0.000 socket.py:652(close)
     3626    0.017    0.000    0.072    0.000 connectionpool.py:290(_get_timeout)
     8173    0.017    0.000    0.024    0.000 sre_parse.py:164(__getitem__)
     9065    0.017    0.000    0.017    0.000 cookiejar.py:1742(__iter__)
     5486    0.017    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     3626    0.017    0.000    0.058    0.000 contextlib.py:237(helper)
     1813    0.016    0.000    0.026    0.000 feedparser.py:197(_new_message)
     1813    0.016    0.000    0.044    0.000 models.py:175(register_hook)
      533    0.016    0.000    0.023    0.000 sre_compile.py:276(_optimize_charset)
     2934    0.016    0.000    0.016    0.000 {method 'format' of 'str' objects}
     1813    0.016    0.000    0.094    0.000 utils.py:702(<lambda>)
     5446    0.016    0.000    0.016    0.000 threading.py:75(RLock)
     3626    0.016    0.000    0.016    0.000 socket.py:614(readable)
     1814    0.016    0.000    0.016    0.000 {method 'pop' of 'collections.OrderedDict' objects}
     1812    0.016    0.000    0.197    0.000 feedparser.py:184(close)
     3636    0.016    0.000    0.020    0.000 queue.py:14(_qsize)
     1813    0.016    0.000    0.031    0.000 _collections.py:51(__getitem__)
     1813    0.015    0.000    0.236    0.000 poolmanager.py:207(connection_from_host)
     3626    0.015    0.000    0.030    0.000 contextlib.py:107(__enter__)
      549    0.015    0.000    0.060    0.000 utils.py:97(<dictcomp>)
     1812    0.015    0.000    0.506    0.000 models.py:746(generate)
     1836    0.015    0.000    0.023    0.000 socketcan.py:256(dissect_can_frame)
     1812    0.015    0.000    0.046    0.000 utils.py:475(get_encoding_from_headers)
     3637    0.015    0.000    0.024    0.000 threading.py:240(__enter__)
    12963    0.015    0.000    0.015    0.000 {method 'pop' of 'dict' objects}
     1812    0.015    0.000    0.111    0.000 sessions.py:143(resolve_redirects)
     1813    0.014    0.000   40.333    0.022 client.py:548(write_points)
        1    0.014    0.014   42.937   42.937 main.py:5(<module>)
     3624    0.014    0.000    0.138    0.000 response.py:347(_error_catcher)
     1813    0.014    0.000    1.527    0.001 client.py:1241(request)
    12691    0.014    0.000    0.014    0.000 {method 'values' of 'collections.OrderedDict' objects}
     3626    0.014    0.000    0.024    0.000 {function SocketIO.close at 0xb646d1e0}
     1813    0.014    0.000    0.252    0.000 models.py:556(prepare_cookies)
     4767    0.014    0.000    0.014    0.000 {method 'update' of 'dict' objects}
     1813    0.014    0.000    0.103    0.000 auth.py:95(__call__)
    13256    0.014    0.000    0.014    0.000 {method 'keys' of 'dict' objects}
     1812    0.013    0.000    0.032    0.000 response.py:303(_init_decoder)
     1813    0.013    0.000    0.019    0.000 adapters.py:203(cert_verify)
     5438    0.013    0.000    0.018    0.000 structures.py:60(__len__)
     3627    0.013    0.000    0.020    0.000 hooks.py:17(default_hooks)
     1812    0.013    0.000    0.015    0.000 models.py:729(iter_content)
     9218    0.013    0.000    0.013    0.000 {method 'upper' of 'str' objects}
     1813    0.013    0.000    0.021    0.000 models.py:290(__init__)
     1813    0.013    0.000    7.941    0.004 utils.py:755(get_environ_proxies)
     1813    0.013    0.000    3.806    0.002 request.py:2494(proxy_bypass_environment)
     1813    0.013    0.000    0.605    0.000 client.py:1228(endheaders)
     1813    0.012    0.000    0.979    0.001 feedparser.py:173(feed)
     3626    0.012    0.000    0.071    0.000 cookies.py:521(<listcomp>)
     7250    0.012    0.000    0.012    0.000 {method 'count' of 'str' objects}
     1813    0.012    0.000    0.032    0.000 client.py:413(close)
      421    0.012    0.000    0.240    0.001 <frozen importlib._bootstrap_external>:793(get_code)
     1813    0.012    0.000    0.021    0.000 models.py:339(prepare_method)
  486/480    0.012    0.000    0.174    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     1812    0.012    0.000    0.102    0.000 connection.py:7(is_connection_dropped)
     5718    0.012    0.000    0.012    0.000 {built-in method builtins.max}
     1813    0.012    0.000    0.111    0.000 connectionpool.py:250(_put_conn)
     3637    0.011    0.000    0.016    0.000 threading.py:243(__exit__)
     1812    0.011    0.000    0.018    0.000 utils.py:450(_parse_content_type_header)
     3637    0.011    0.000    0.020    0.000 threading.py:255(_is_owned)
     1812    0.011    0.000    0.027    0.000 response.py:255(_init_length)
     3625    0.011    0.000    0.018    0.000 feedparser.py:122(pushlines)
     3624    0.011    0.000    0.016    0.000 response.py:7(is_fp_closed)
     3625    0.011    0.000    0.011    0.000 {method 'read' of '_io.StringIO' objects}
     9060    0.011    0.000    0.011    0.000 client.py:436(isclosed)
     1812    0.011    0.000    0.122    0.000 response.py:224(release_conn)
     3837    0.011    0.000    0.020    0.000 textparser.py:30(match)
     1813    0.011    0.000    0.083    0.000 utils.py:589(requote_uri)
     3654    0.011    0.000    0.011    0.000 __init__.py:1619(isEnabledFor)
    12691    0.011    0.000    0.011    0.000 {method 'popleft' of 'collections.deque' objects}
     4077    0.011    0.000    0.013    0.000 {method 'extend' of 'list' objects}
    10931    0.011    0.000    0.011    0.000 {method 'group' of 're.Match' objects}
 1438/389    0.011    0.000    0.014    0.000 sre_parse.py:174(getwidth)
     1813    0.011    0.000    0.141    0.000 structures.py:80(copy)
     1812    0.011    0.000    0.129    0.000 message.py:451(items)
      408    0.010    0.000    0.032    0.000 inspect.py:2117(_signature_from_function)
     1813    0.010    0.000    0.015    0.000 cookiejar.py:1285(_cookie_attrs)
      232    0.010    0.000    0.014    0.000 message.py:843(_check_signal)
     1812    0.010    0.000    0.086    0.000 wait.py:139(wait_for_read)
     7250    0.010    0.000    0.010    0.000 {method 'seek' of '_io.StringIO' objects}
    464/1    0.010    0.000   42.937   42.937 {built-in method builtins.exec}
      842    0.010    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      549    0.010    0.000    0.076    0.000 utils.py:93(decode_data)
     1813    0.010    0.000    0.016    0.000 base64.py:51(b64encode)
    497/7    0.010    0.000    1.634    0.233 <frozen importlib._bootstrap>:978(_find_and_load)
     1836    0.010    0.000    0.016    0.000 __init__.py:1434(log)
     3626    0.010    0.000    0.010    0.000 {method 'isdigit' of 'str' objects}
    10698    0.010    0.000    0.010    0.000 signal.py:163(name)
     1812    0.010    0.000    0.012    0.000 retry.py:295(_is_method_retryable)
     3637    0.010    0.000    0.010    0.000 {method '__enter__' of '_thread.lock' objects}
     1813    0.009    0.000    0.013    0.000 {method '_checkReadable' of '_io._IOBase' objects}
  722/162    0.009    0.000    0.037    0.000 textparser.py:248(match)
     5462    0.009    0.000    0.009    0.000 {method 'copy' of 'dict' objects}
      503    0.009    0.000    0.009    0.000 {method 'splitlines' of 'str' objects}
     1812    0.009    0.000    0.013    0.000 response.py:547(closed)
